model,accuracy,precision,recall,f1,roc_auc
random_forest,0.9503294475418145,0.9540289256198347,0.9452405322415558,0.9496143958868895,0.9855784447924758
gradient_boosting,0.9483020780537252,0.9571577847439916,0.9375639713408394,0.9472595656670114,0.9828545245464971
logistic_regression,0.9001520527116067,0.929042904290429,0.8643807574206755,0.8955461293743372,0.9559567594842009
