model,calibration,accuracy,precision,recall,f1,roc_auc,true_positive,true_negative,false_positive,false_negative,false_positive_rate,false_negative_rate
logistic_regression,none,0.8955491744436468,0.9166666666666666,0.8520526723470179,0.8831794460056203,0.9505490804618545,1100,1395,100,191,0.06688963210702341,0.14794732765298219
random_forest,none,0.9407753050969131,0.933076923076923,0.9395817195972115,0.936318023928985,0.9831503928664876,1213,1408,87,78,0.05819397993311037,0.060418280402788536
gradient_boosting,none,0.9425699928212491,0.936006168080185,0.9403563129357088,0.9381761978361669,0.9844819680370147,1214,1412,83,77,0.05551839464882943,0.05964368706429125
random_forest,sigmoid,0.9440057430007178,0.9507545671167593,0.9271882261812548,0.9388235294117647,0.981483851412791,1197,1433,62,94,0.04147157190635452,0.07281177381874517
