feature,mean_abs_shap
subdomain_count,0.13557224355551642
digit_count,0.11234029540016591
has_https,0.10101797674021913
hostname_length,0.059430192662117326
query_length,0.03258683023967592
dot_count,0.02841490713088278
url_length,0.02370298368047639
path_length,0.018951692342047063
suspicious_keyword_count,0.01862223272482902
hyphen_count,0.01522247836424522
suspicious_path_keyword_count,0.014754881164981163
special_character_count,0.013140967560983962
domain_entropy,0.010259608590306326
domain_randomness_score,0.008986902987691829
tld_caution_indicator,0.0059187763593415346
brand_similarity_score,0.005343705237643965
possible_brand_impersonation,0.0044865150028588355
official_brand_domain_match,0.004133137071078657
domain_digit_ratio,0.002860744486014941
domain_hyphen_count,0.0026469945133445706
domain_digit_count,0.0023580634590101355
has_at_symbol,0.0017032541548311878
underscore_count,0.0010788686982596927
possible_typosquatting,0.00037429036642323284
has_ip_address,0.0002552927675741294
url_shortener_detected,0.00021235752566500386
has_double_slash_path,0.000143500065347738
has_punycode,4.911245040458597e-06
misleading_subdomain_detected,1.4114787170889257e-06
